station_name,Start_Year_Threshold,End_Year_Threshold,Actual_Start_Year,Actual_End_Year,Year_2018_In_Range,latitude,longitude,elevation,height_canopy_ETH,sd_height_canopy,height_canopy_field_information,Measurement height,IGBP long name,IGBP short name,Remarks
BE-Bra,2011-01-01,2020-01-01,1996-01-01,2020-01-01,True,51.30761,4.51984,32.0313339233398,23.0,7.0,26.0,40.0,Evergreen Needleleaf Forests,ENF,
BE-Dor,2011-01-01,2021-01-01,2011-01-01,2020-01-01,True,50.311874,4.968113,246.648345947265,4.0,4.0,0.1,1.5,Grasslands,GRA,*
BE-Vie,2010-01-01,2020-01-01,1996-01-01,2020-01-01,True,50.304962,5.998099,493.235198974609,35.0,7.0,33.0,52.0,Mixed Forests,MF,
CH-Cha,2006-01-01,2020-01-01,2005-01-01,2020-01-01,True,47.210222,8.410444,391.412322998046,5.0,5.0,1.0,2.0,Grasslands,GRA,*
CH-Dav,1997-01-01,2020-01-01,1997-01-01,2020-01-01,True,46.81533,9.85591,1657.42407226562,33.0,9.0,25.0,35.0,Evergreen Needleleaf Forests,ENF,
CH-Oe2,2008-01-01,2020-01-01,2004-01-01,2020-01-01,True,47.286417,7.73375,451.908020019531,1.5,0.0,1.0,2.0,Croplands,CRO,"Not found (approx based on crop rotation chart, wheat, barley, grassland) from https://www.swissfluxnet.ethz.ch/index.php/sites/site-info-ch-oe2/"
CZ-BK1,2011-01-01,2020-01-01,2004-01-01,2020-01-01,True,49.502075,18.536882,882.034484863281,25.0,8.0,17.0,25.5,Evergreen Needleleaf Forests,ENF,
CZ-RAJ,2012-01-01,2020-01-01,2012-01-01,2020-01-01,True,49.4437236,16.6965125,652.349609375,31.0,8.0,17.0,25.5,Evergreen Needleleaf Forests,ENF,
CZ-Stn,2014-01-01,2020-01-01,2010-01-01,2020-01-01,True,49.03597,17.9699,476.025207519531,13.0,0.0,13.0,22.0,Deciduous Broadleaf Forests,DBF,https://www.sciencedirect.com/science/article/pii/S0034425722004308
CZ-wet,2007-01-01,2020-01-01,2006-01-01,2020-01-01,True,49.0247,14.7704,1180.55493164062,1.0,0.0,0.3,2.0,Permanent Wetlands,WET,height_canopy from modelevaluation
DE-Geb,2001-01-01,2020-01-01,2001-01-01,2020-01-01,True,51.09973,10.91463,161.366485595703,1.0,0.0,1.0,2.0,Croplands,CRO,height_canopy from modelevaluation
DE-Gri,2004-01-01,2020-01-01,2004-01-01,2020-01-01,True,50.95004,13.51259,377.095275878906,5.0,4.0,0.21,3.0,Grasslands,GRA,*
DE-HoH,2015-01-01,2020-01-01,2015-01-01,2020-01-01,True,52.08656,11.22235,215.809295654296,32.0,8.0,13.0,22.0,Deciduous Broadleaf Forests,DBF,
DE-Obe,2008-01-01,2020-01-01,2008-01-01,2020-01-01,True,50.78666,13.72129,744.278015136718,27.0,8.0,20.5,25.5,Evergreen Needleleaf Forests,ENF,
DE-RuR,2012-01-01,2021-01-01,2011-01-01,2020-01-01,True,50.621914,6.304126,513.365173339843,4.0,3.0,1.0,2.0,Grasslands,GRA,*
DE-RuS,2014-01-01,2021-01-01,2011-01-01,2020-01-01,True,50.865906,6.4471445,102.523391723632,1.0,0.0,1.0,2.0,Croplands,CRO,https://www.sciencedirect.com/science/article/pii/S0034425722004308
DE-Tha,1998-01-01,2020-01-01,1996-01-01,2020-01-01,True,50.96256,13.56515,408.681365966796,32.0,8.0,18.55,26.5,Evergreen Needleleaf Forests,ENF,
ES-Abr,2016-01-01,2021-01-01,2015-01-01,2020-01-01,True,38.701839,-6.785881,279.98306274414,8.0,0.0,8.0,15.0,Savannas,SAV,https://www.sciencedirect.com/science/article/pii/S0034425722004308
ES-LM1,2014-01-01,2021-01-01,2014-01-01,2020-01-01,True,39.94269,-5.778683,264.104858398437,8.7,1.25,8.0,15.0,Savannas,SAV,https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2020JG006005
ES-LM2,2014-01-01,2021-01-01,2014-01-01,2020-01-01,True,39.934592,-5.775881,268.69921875,8.7,1.25,8.0,15.0,Savannas,SAV,https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2020JG006005
FI-Ken,2018-01-01,2020-01-01,2018-01-01,2020-01-01,True,67.98721,24.24301,350.922271728515,17.0,9.0,13.0,23.0,Evergreen Needleleaf Forests,ENF,
FI-Sii,2016-01-01,2020-01-01,2016-01-01,2020-01-01,True,61.83265,24.19285,166.573928833007,4.0,2.0,0.3,2.0,Permanent Wetlands,WET,
FI-Var,2016-01-01,2021-01-01,2016-01-01,2020-01-01,True,67.7549,29.61,395.987060546875,5.0,5.0,14.0,15.0,Evergreen Needleleaf Forests,ENF,
FR-Aur,2005-01-01,2020-01-01,2005-01-01,2020-01-01,True,43.54965,1.106103,244.314010620117,1.0,0.0,1.0,3.5,Croplands,CRO,https://www.sciencedirect.com/science/article/pii/S0034425722004308
FR-Bil,2015-01-01,2021-01-01,2014-01-01,2020-01-01,True,44.493652,-0.956092,38.8323020935058,13.0,6.0,14.0,23.3,Evergreen Needleleaf Forests,ENF,
FR-FBn,2008-01-01,2020-01-01,2008-01-01,2020-01-01,True,43.24079,5.67865,434.526062011718,17.0,5.0,,15.0,Evergreen Needleleaf Forests,ENF,https://www.sciencedirect.com/science/article/pii/S0034425722004308
FR-Hes,2014-01-01,2021-01-01,2014-01-01,2020-01-01,True,48.6741,7.06465,320.888610839843,21.0,7.0,13.0,22.0,Deciduous Broadleaf Forests,DBF,
FR-LGt,2017-01-01,2020-01-01,2017-01-01,2020-01-01,True,47.322918,2.284102,154.74169921875,15.0,7.0,1.0,2.0,Permanent Wetlands,WET,
FR-Tou,2018-01-01,2020-01-01,2018-01-01,2020-01-01,True,43.572857,1.37474,157.20718383789,0.0,0.0,,,Grasslands,GRA,*
IL-Yat,2012-01-01,2021-01-01,2000-01-01,2020-01-01,True,31.34504,35.05198,658.435546875,2.0,6.0,10.0,20.0,Evergreen Needleleaf Forests,ENF,
IT-Lav,2016-01-01,2020-01-01,2003-01-01,2020-01-01,True,45.9562,11.28132,1367.59216308593,32.0,7.0,28.0,42.0,Evergreen Needleleaf Forests,ENF,
IT-Ren,2014-01-01,2020-01-01,1999-01-01,2020-01-01,True,46.58686,11.43369,1749.93994140625,29.0,7.0,25.0,35.0,Evergreen Needleleaf Forests,ENF,
IT-Tor,2013-01-01,2020-01-01,2008-01-01,2020-01-01,True,45.84444,7.578055,2161.39770507812,1.0,1.0,1.0,2.0,Grasslands,GRA,https://www.sciencedirect.com/science/article/pii/S0034425722004308
RU-Fy2,2016-01-01,2021-01-01,2015-01-01,2020-01-01,True,56.447603,32.901878,277.861511230468,34.0,8.0,27.4,29.0,Evergreen Needleleaf Forests,ENF,
SE-Deg,2014-01-01,2021-01-01,2001-01-01,2020-01-01,True,64.18203,19.55654,265.453460693359,3.0,2.0,0.3,1.75,Permanent Wetlands,WET,
SE-Htm,2015-01-01,2021-01-01,2015-01-01,2020-01-01,True,56.09763,13.41897,120.503471374511,27.0,8.0,19.0,27.0,Evergreen Needleleaf Forests,ENF,
SE-Nor,2015-01-01,2021-01-01,2014-01-01,2020-01-01,True,60.0865,17.479504,46.0,31.0,10.0,25.0,36.0,Evergreen Needleleaf Forests,ENF,elevation from https://www.icos-sweden.se/norunda
SE-Ros,2015-01-01,2021-01-01,2014-01-01,2020-01-01,True,64.1725,19.738,168.961441040039,12.0,9.0,14.0,23.3,Evergreen Needleleaf Forests,ENF,
